reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Panama,Myanmar,,,,,,,477,218,28,51,2012,583,1607,1678,2349,2332,2156,1917,4997
Panama,Lao People's Democratic Republic,,,,,,,198,158,15,283,233,131,31,122,435,448,764,1096,
Panama,Nepal,,,,,,112,45,161,19,17,12,0,13,0,18,10,0,0,5
Panama,Tonga,,,,,0,0,40,0,0,0,0,,,0,0,0,0,0,0
Panama,Congo,,,,3987,9,0,0,0,1,0,0,0,0,1,13,1443,0,0,0
Panama,"Palestine, State of",,,,0,0,0,0,0,0,0,108,0,28,0,0,0,0,0,0
Panama,Montenegro,,,0,136,0,0,0,1,10,3,24,4,21,0,8,0,14,8,0
Panama,Nigeria,,,0,16,3,57480,15870,12948,536863,2568,16050,3134,126730,0,0,0,0,480,255
Panama,Antigua and Barbuda,,31,,88,,634,4418,33,6,484,0,332,533,1,139,42,17,50,258
Panama,United Arab Emirates,,1821,,2688,6382,,,,11441,4830,7469,9002,8120,20537,56553,47841,54321,95119,85952
Panama,Lesotho,,0,0,0,0,0,0,6,3,0,0,0,0,0,5,0,0,0,0
Panama,Aruba,,17768,24093,29114,22208,32790,27595,126,5040,6634,1771,1555,2531,0,0,9,0,0,2677
Panama,Netherlands Antilles,,165,97,107,174,,,,,,,,,,,,,,
Panama,Papua New Guinea,2,,,,,,,54,121,,,,,,,34,82,0,
Panama,Andorra,0,,0,0,0,0,15,0,233,0,52,185,13,2,9,4,25,10,0
