Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Latvia,148,232,521,94,107,344,5596,235,190,351,666,502,10179,298,115,143,346,2775,2893,985
Australia,5324,2668,4282,1970,1167,4220,2792,3276,1838,2268,2270,1055,3782,1682,4311,1296,4520,28838,1002,829
Lithuania,0,0,12531,6163,44676,18361,10,29795,46,96,19,850,1098,536,1415,1484,1322,392,53,791
New Zealand,60,2590,515,93,335,246,260,619,377,196,2210,1185,2668,2450,1021,581,1154,631,267,434
Colombia,167,160,21,231,157,357,694,285,747,285,144,274,533,258,7064,591,1880,588,225,295
Chile,21,20,29,1024,310,74,140,1462,169,342,50,58,309,524,450,156,336,224,46,136
Iceland,0,0,0,0,0,0,0,4,0,0,0,0,0,101,251,0,67,0,0,126
Guatemala,0,0,0,0,4,0,57,63,105,126,16,0,3,49,614,71,5,113,0,111
Bosnia and Herzegovina,42,80,717,530,33,139,43,21,29,150,256,348,160,195,227,173,112,36,0,6
Ecuador,3,0,6,367,613,466,30,25,218,83,14,172,71,231,22,42,25,23,6,6
Costa Rica,36,136,152,24,45,142,41,746,10,15,0,8,3,0,0,28,103,51,61,2
Argentina,105,144,150,507,799,680,826,988,1063,1739,1772,1119,1390,1982,2312,20110,53733,70,21761,0
"Bolivia, Plurinational State of",19,29,126,28,42,112,86,51,81,68,139,0,0,21,0,0,0,0,0,0
El Salvador,0,1,0,0,141,3,0,2,5,41,68,39,17,60,0,0,1,41,2,0
Malta,69,18,590,449,2,0,110,2,436,4,576,634,1,1,0,153,25592,0,6,0
Peru,28,0,38,69,0,0,51,50,11,0,0,0,0,0,16,4,0,0,0,0
Liberia,,,,,,,,,,,,,,2,0,0,12,0,0,
