reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Panama,Angola,115,1040,588,9367,,26179,4014,2114,7625,4992,6943,45592,17457,4856,6580,1649,33666,8447,7499
Panama,Saint Lucia,1613,2487,4667,7204,8790,,,,6753,5519,6393,6287,7136,7196,4617,4309,4636,,
Panama,Mali,0,34,158,1,3,,2,8,1406,,,,29,11,168,5,8,39,1
Panama,Grenada,695,922,1121,996,808,,658,1351,1878,2330,2176,3403,5009,4799,5431,6243,5188,5527,8131
Panama,Montserrat,2,19,42,55,24,1,,,235,8,31,8,40,96,142,188,93,,234
Panama,Dominica,991,1301,1292,1871,1909,1085,1867,2400,1469,1207,,,1519,1369,3528,2637,1561,2157,1746
Panama,Bangladesh,3,10772,1908,1052,573,1700,271,6435,12411,634,,315,,,,,,,
Panama,Qatar,394,2013,588,11,390,659,30511,1349,24,98,290,190,,0,0,0,47,0,0
Panama,Sri Lanka,46,1553,0,2,0,18350,119,520,643,1411,9721,383,241,158,,545,147,59,34
Panama,Albania,283,19,460,31,161,737,1110,843,759,117,189,563,682,171,320,463,562,35,444
Panama,Azerbaijan,18,2,1103,6315,12615,5933,12406,9010,21717,13925,565,0,0,94,1,10,36,71,0
Panama,Bahamas,5496,12556,13234,9885,7964,7412,16012,15031,11624,10921,15780,25169,34104,31966,27520,22883,15161,23629,25648
Panama,Bahrain,0,0,1,4,277,0,16,200,155,427,372,27734,83,225454,1240,32,124,27,24
Panama,Armenia,54051,71264,80,1654,227,82,23,12,992,1813,95,128,72,18,146,1,12,18,59
Panama,Barbados,3016,5388,4311,5373,5386,5175,6314,7166,7025,7214,5527,5451,6234,5467,7661,7009,50218,38655,44895
Panama,Botswana,0,0,0,0,0,0,0,0,145,0,23,116,49,15,0,0,229,0,20
Panama,Brunei Darussalam,40,0,3,1,0,19,1355,3,1,0,0,0,0,1,0,1,2,0,0
Panama,Burundi,0,42,28,0,0,0,0,202,2,39,17,0,0,7,1,84,4,168,3
Panama,Cambodia,95,0,0,22,0,97,0,0,0,47,0,15,5,228,0,0,14,606,526
Panama,Benin,11,3665,3955,58,85,123,0,101,78,547,33,0,51,110,1910,4,1999,16,0
Panama,Dominican Republic,107144,164709,227489,261922,201218,132455,108376,60646,62014,78315,99548,82103,64827,56140,79000,93832,72023,84545,91026
Panama,Ethiopia,60,500,658,2105,162,207,1,16,46,36,64,66,33,25,0,98,100,70,26
Panama,Fiji,12,0,0,0,0,6,73,4243,313,4182,1316,1397,1841,0,18,56,29,2,5
Panama,French Polynesia,0,33,0,62,0,1,0,0,9,1,0,3,3,2,29,12,10,6,9
Panama,Georgia,228,239,156,793,2188,1252,1284,326,846,1462,148,216,282,99,5,0,21,0,9
Panama,Gambia,4,6,17,2,0,8,176,0,24,0,45,0,0,0,0,0,480,184,0
Panama,Guyana,5708,4632,4560,7248,7750,8845,8822,14397,15450,17210,14414,16440,13312,22870,27024,34390,30391,33795,49159
Panama,Indonesia,17510,38618,22357,787,36617,171434,47383,75544,225226,13696,39489,44624,52309,26770,45433,29180,33835,82312,5737
Panama,"Iran, Islamic Republic of",36,1522,10,3251,11409,634,2119,2446,84034,49679,17079,3039,215,743,0,0,0,0,0
