report,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Tonga,Türkiye,340,0,0,0,0,2,0,350,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,Palau,,,,,,,,,2,,0,0,0,0,0,,,,,
Tonga,Bermuda,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,
Tonga,Sudan,,,,,,,,,84,26,0,20,14,35,27,,,,,
Tonga,Myanmar,,,,,,,0,0,0,0,0,21,0,0,0,0,0,0,0,
Tonga,Tonga,,,,,84,150,0,0,0,0,0,,,0,0,303,535,17,103,
Tonga,"Palestine, State of",,,,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,
Tonga,Vanuatu,,,0,0,,104,7,13,,,,,,,,,,,,
Tonga,Nigeria,,,0,0,0,1627,1,57,0,11,43,9,3,0,45,0,0,0,0,
Tonga,Antigua and Barbuda,,0,,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
Tonga,United Arab Emirates,,0,,0,1,,,,2,5,6,0,0,0,15,10,1,7,8,
Tonga,Kiribati,,0,,0,3,5,14,0,0,26,3,0,0,0,1,,0,3,,
Tonga,Cook Islands,,7,,,,,,,,,,,,,,,,,,
Tonga,Papua New Guinea,48,,,,,,,0,19,,,,,,,2,4,0,,
