reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Estonia,France,201308,227199,390280,393818,375488,243938,234881,334581,424242,403842,343367,272261,305719,363923,393707,440921,336882,471391,473633,468994
Estonia,Denmark,174641,194998,256247,327776,332438,239296,209540,247191,269723,255965,284860,240699,272515,283047,302701,269333,240782,359936,351843,417351
Estonia,Spain,90047,113440,142777,166107,157990,91889,102022,140407,164104,193116,199376,234212,237757,269414,281732,263779,258901,316136,344447,407348
Estonia,United Kingdom,192975,212309,859037,464856,403318,239805,289134,437840,432183,501645,443400,335323,314850,324789,354604,322307,281711,332685,379919,383399
Estonia,United States of America,134267,145426,221472,242273,225570,183223,187880,309603,235986,292850,294950,288592,256555,274021,346144,410568,344986,449790,404467,366002
Estonia,Japan,144836,250713,163969,133840,98510,46511,92742,130201,203934,289927,114078,95848,118801,130497,164017,189201,141939,201107,223572,251660
Estonia,Austria,110590,294982,184414,174992,198725,70933,101382,135301,137218,153674,142431,111675,134476,143867,197982,169163,169320,207091,208355,241490
Estonia,Norway,71985,91141,129343,120136,171111,165302,231086,226876,328433,181916,222077,167634,143092,188761,204940,187982,175279,210279,244435,234695
Estonia,Switzerland,41042,56324,69669,80810,106236,65753,78018,114938,173405,204182,167880,149741,172247,157713,178406,187513,246173,323908,292012,230870
Estonia,Slovakia,16917,28271,37856,69582,62800,25391,34386,50303,66118,76204,84438,78493,104523,155627,122101,127244,110123,153170,180991,198726
Estonia,Türkiye,35521,57256,74755,81762,239707,105984,90324,132005,168679,202271,179842,117825,171580,105824,91706,90424,79158,126297,195338,173935
Estonia,Hungary,80564,82262,118349,138817,144271,70910,86357,203058,174606,212041,219669,252644,341999,167006,130609,108877,99069,135453,125185,121234
Estonia,"Hong Kong, China",72782,95323,145006,125298,126578,65067,74284,141421,139576,175071,165470,116021,115070,147517,193702,87156,77670,116488,108564,114301
Estonia,Greece,6365,7532,10289,11535,10199,7103,8369,10058,9955,13137,11046,8628,12157,19250,21608,36697,21050,31812,68637,102335
Estonia,"Korea, Republic of",36732,47857,64355,96491,112335,41512,62801,102785,136795,151863,123862,61966,62129,78406,93495,90687,111043,116064,98055,101251
Estonia,Slovenia,9841,14292,19557,26081,28409,29442,36248,38941,41878,37298,42258,34959,39526,57526,73244,77013,50346,56730,80101,99949
Estonia,Ukraine,278155,125106,123390,217856,173859,77532,106282,150365,253998,103208,82376,66205,98048,133067,152062,139860,109748,168629,126994,92304
Estonia,Romania,4788,5217,7997,16774,28257,26559,32354,45866,51812,79585,95530,67880,75779,69525,82861,60880,70376,105999,131637,86842
Estonia,Malaysia,18464,29909,41505,64699,62271,15969,27694,60944,51171,73280,75743,56253,31389,41641,67636,72174,77052,66011,68002,83737
Estonia,Portugal,10029,9818,12497,22611,24079,16462,20254,21960,29780,38698,37828,23207,24978,32391,38189,34896,34212,53928,76234,79772
