partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Iceland,Estonia,19428,23875,29154,33557,38626,17112,51881,27059,27468,25761,24696,23396,23948,35114,33293,42508,31342,50248,50493,52443
Iceland,Türkiye,9812,17788,21671,10653,11122,6246,7454,13746,15996,14529,18874,67508,26706,199722,23862,23441,18828,30430,48859,48942
Iceland,Slovakia,2818,6810,5965,8961,6622,1031,2724,7921,8816,8512,9694,16416,23702,28734,22991,11111,20301,29548,53087,42369
Iceland,Canada,73743,74207,138215,90962,48218,71296,102276,52980,50128,42996,59945,69061,58394,61086,153825,57916,50917,72648,69585,40971
Iceland,Hungary,13932,28541,15196,15038,14232,10416,7090,8337,5336,10195,12034,11948,13432,12109,12349,13440,11149,10826,22398,26422
Iceland,Ireland,56284,56393,70661,49246,38387,20046,21402,20769,30124,22719,59250,112100,117751,47538,49383,101869,50549,83021,50849,22814
Iceland,Malaysia,2219,2974,3069,3844,3291,1556,1875,901,2181,1473,1256,635,1254,965,3706,1061,1454,55798,142834,22807
Iceland,Romania,1084,3406,3003,5597,3816,2292,1536,1300,918,2448,2461,2947,8816,8596,11869,6061,3366,7072,11736,18093
Iceland,Portugal,6094,9445,11790,8345,5788,4304,4740,5534,10020,17200,15072,14710,18970,17100,15713,8742,11545,15244,17987,17256
Iceland,Malta,4411,3753,5630,2484,4097,4414,4648,2177,1685,4201,3875,1898,1677,459,841,218,204,1586,5808,15689
Iceland,Slovenia,3808,3047,9089,7735,3561,1650,1220,1571,4437,2016,2159,3001,3570,3679,3273,5980,12821,3632,7634,10866
Iceland,Singapore,0,0,0,0,0,0,0,2558,831,1188,1517,1413,3581,545,692,466,314,588,3325,7615
Iceland,"Hong Kong, China",5995,7855,8257,14981,10234,7124,10622,11629,8809,7857,7492,7852,12274,9522,33126,7442,9605,9937,11498,7193
Iceland,Thailand,6496,9630,9191,9092,9656,4584,5428,5934,7071,6404,6578,5895,5370,9357,6911,8134,5575,6670,7475,6862
Iceland,Greece,3424,2574,2425,2511,2048,2086,2533,1910,1923,2702,2581,2051,3736,4099,4838,4811,3153,4893,4985,6308
Iceland,Croatia,461,3040,6759,845,930,156,134,709,2556,1444,805,1286,3141,2487,3221,4288,2411,2488,3766,5414
Iceland,Chile,2256,1968,2938,3070,2882,2932,2764,3264,43035,36263,2927,3616,4542,3323,4708,3038,1997,2240,2948,5368
Iceland,Argentina,371,811,979,1638,2061,2331,1532,2292,29411,2084,1464,1523,1981,2049,5266,3465,2211,3547,2917,5070
Iceland,"Taipei, Chinese",4405,6882,7865,8159,5723,19525,6008,7096,9971,6471,9243,6949,6081,6482,6569,6146,5338,6267,6145,4703
Iceland,Serbia,,,341,65,359,1015,792,149,373,328,583,309,1362,2112,1410,1901,2555,2983,3382,4250
Iceland,Luxembourg,12683,10090,10712,12110,4834,3123,586,1102,3070,2047,1781,3228,10749,0,3617,5100,3995,6635,6732,3061
Iceland,Bulgaria,300,65,212,1465,187,350,342,1003,864,864,1536,1528,1335,1395,3244,1158,998,2123,2175,2414
Iceland,Ukraine,2076,1241,338,3469,35,46,112,162,17222,422,192,265,640,650,1410,994,1026,1470,2110,2005
Iceland,New Zealand,819,929,1795,2293,2717,490,531,1156,854,1073,969,1736,8544,1939,1557,1388,1097,1498,1615,1795
Iceland,Peru,124,175,183,199,1644,652,826,2609,3095,2546,1306,1739,886,1360,1774,1233,2845,1634,1854,1768
Iceland,South Africa,9536,9080,22385,42939,12409,1648,1320,19661,1110,1566,2808,3759,6118,5933,7344,2365,2862,6834,2371,903
Iceland,Cyprus,33,46,49,98,465,181,208,243,329,235,192,138,133,186,139,209,288,895,730,635
Iceland,Colombia,270,1864,791,601,183,681,348,585,531,341,161,544,470,636,303,356,781,611,473,348
Iceland,Ecuador,25,50,54,162,136,15,0,34,0,0,855,2557,939,1174,432,1210,480,451,362,207
Iceland,Guatemala,48,94,48,422,100,64,240,203,334,191,102,123,97,118,8,15,31,29,108,16
Iceland,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4
Iceland,"Bolivia, Plurinational State of",0,4,6,0,0,0,0,10,0,0,6,4,1,1,23,0,0,0,0,0
Iceland,Bosnia and Herzegovina,41,4,1433,159,52,3505,9,3,18,118,47,22,47,78,3,50,9,274,3652,0
Iceland,Costa Rica,6,126,60,119,98,124,62,0,0,2,0,0,0,0,0,0,0,1,0,0
Iceland,El Salvador,0,29,0,14,0,109,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Iceland,Madagascar,1,6,15,0,4,15,18,0,3749,4660,0,7,14,0,45,0,0,0,0,0
Iceland,Paraguay,96,115,0,106,4,0,0,8,0,0,0,183,7,0,0,0,0,0,0,0
Iceland,"Congo, Democratic Republic of the",,,,,,,,,,,,417,0,25,18,5141,0,0,0,
Iceland,Sierra Leone,,,,,,,,,,,0,0,0,0,5,,,,,
Iceland,Haiti,,,,,,,,,,6652,0,0,0,0,,,,,,
Iceland,Bermuda,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,
Iceland,Myanmar,,,,,,,0,0,0,0,180,446,232,109,0,0,3,79,80,
Iceland,Lao People's Democratic Republic,,,,,,,2760,1367,0,218,2336,1323,484,922,412,27,94,420,,
Iceland,Nepal,,,,,,65,145,105,10,130,42,90,69,178,61,41,125,7,25,
Iceland,"Libya, State of",,,,13820,0,0,0,,,,,0,0,0,0,2,,,,
Iceland,Congo,,,,33892,0,85770,69500,82921,0,0,0,0,0,0,0,0,31574,0,0,
Iceland,"Palestine, State of",,,,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iceland,Vanuatu,,,0,0,,0,7,0,,,,,,,,,,,,
Iceland,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,1,
Iceland,Central African Republic,,,752,969,732,0,0,0,0,0,0,247,1152,0,0,0,245,0,0,
Iceland,Nigeria,,,0,0,6683,255,1929,30534,4812,12516,162,134,0,3530,0,160,0,0,0,
Iceland,United Arab Emirates,,235,,487,651,,,,3906,2027,310,982,155,1155,2213,2447,946,1796,1971,
Iceland,Lesotho,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Iceland,Papua New Guinea,0,,,,,,,39815,0,,,,,,,0,0,2,,
Iceland,Andorra,9,,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1,5,
Iceland,Kuwait,0,,2,0,0,26,0,0,0,26,12,0,0,6,9,0,0,0,0,
